# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/multicycle-xelo-em-2018-dames/,20181128,1,1,00:05:04,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20181129,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-dames/,20181209,1,1,00:00:06,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20181214,1,1,00:00:10,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20181215,1,1,00:00:26,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20181221,1,1,00:01:42,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20181228,1,1,00:01:30,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20181231,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-dames/,20190104,1,1,00:03:14,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190109,1,1,00:01:03,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190110,1,1,00:00:19,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190111,1,1,00:00:12,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190116,1,1,00:00:03,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190117,1,1,00:00:20,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190118,1,1,00:00:10,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190121,1,1,00:01:19,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190122,1,1,00:01:10,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190129,1,1,00:01:17,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190201,1,1,00:01:09,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190202,1,1,00:00:06,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190203,1,1,00:01:13,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190207,1,1,00:01:35,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190211,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-dames/,20190213,1,1,00:00:35,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190217,1,1,00:00:06,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190218,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-dames/,20190220,1,1,00:00:22,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190222,1,1,00:00:24,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190224,1,1,00:00:06,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190318,1,1,00:01:05,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190319,1,1,00:00:11,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190320,1,1,00:00:12,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190321,1,1,00:00:39,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190322,1,1,00:00:29,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190323,1,1,00:01:13,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190324,1,1,00:00:48,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190404,1,1,00:00:23,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190405,1,1,00:00:09,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190406,1,1,00:00:20,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190411,1,1,00:00:07,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190414,1,1,00:00:34,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190415,1,1,00:00:04,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190418,1,1,00:00:30,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190422,1,1,00:00:31,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190502,1,1,00:00:17,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190504,1,1,00:02:38,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190505,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-dames/,20190507,1,1,00:00:30,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190512,1,1,00:00:43,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190518,1,1,00:00:18,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190525,1,1,00:01:07,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190602,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-dames/,20190609,1,1,00:02:41,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190615,1,1,00:01:36,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190616,1,1,00:00:35,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190618,1,1,00:00:22,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190705,1,1,00:00:14,0.00%,0.00%
/multicycle-xelo-em-2018-dames/,20190710,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-heren/,20181130,1,1,00:00:03,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20181202,1,1,00:00:17,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20181209,1,1,00:00:25,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20181213,1,1,00:00:03,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190115,1,1,00:13:10,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190209,1,1,00:00:52,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190214,1,1,00:00:11,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190220,1,1,00:00:26,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190326,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-heren/,20190412,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-heren/,20190413,1,1,00:00:00,100.00%,100.00%
/multicycle-xelo-em-2018-heren/,20190427,1,1,00:00:44,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190428,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-heren/,20190507,1,1,00:00:00,100.00%,100.00%
/multicycle-xelo-em-2018-heren/,20190512,1,1,00:00:37,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190518,1,1,00:00:41,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190525,1,1,00:00:02,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190529,1,1,00:00:19,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190602,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-em-2018-heren/,20190619,1,1,00:00:33,0.00%,0.00%
/multicycle-xelo-em-2018-heren/,20190629,1,1,00:00:00,100.00%,100.00%
/multicycle-xelo-em-2018-heren/,20190709,1,1,00:00:46,0.00%,0.00%
/multicycle-xelo-sef-2/,20181002,1,1,00:00:06,0.00%,0.00%
/multicycle-xelo-sef-2/,20181004,1,1,00:00:43,0.00%,0.00%
/multicycle-xelo-sef-2/,20181012,1,1,00:00:00,100.00%,100.00%
/multicycle-xelo-sef-2/,20181023,1,1,00:00:00,0.00%,100.00%
/multicycle-xelo-sef-2/,20181104,1,1,00:00:33,0.00%,0.00%
/multicycle-xelo-sef-2/,20181122,1,1,00:00:34,0.00%,0.00%
/multicycle-xelo-sef-2018-heren/,20181130,1,1,00:00:30,0.00%,0.00%
/multicycle-xelo-sef-2018-heren/,20181201,1,1,00:00:42,0.00%,0.00%
/multicycle-xelo-sef-2018-heren/,20181204,1,1,00:00:00,0.00%,0.00%
/multicycle-xelo-sef-2018-heren/,20181213,1,1,00:01:39,0.00%,0.00%
/multicycle-xelo-sef-2018-heren/,20181219,1,1,00:00:07,0.00%,0.00%
/multicycle-xelo-sef-2018-heren/,20190115,1,1,00:03:29,0.00%,0.00%
/multicycle-xelo-sef-2018-heren/,20190120,1,1,00:00:15,0.00%,0.00%
