# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=in-het-voorwiel&prijs[0]=1000-1500&prijs[1]=1500-2000&orderby=popularity&order=DESC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=in-het-voorwiel&prijs[0]=2000-2500,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=in-het-voorwiel&prijs[1]=3500-plus,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&orderby=price&order=ASC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&type[1]=elektrische-transportfietsen&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bosch-active-line&motortechniek[1]=bosch-active-line-plus&motortechniek[2]=bosch-e-bike-motor&motortechniek[3]=bosch-performance-line&motortechniek[4]=bosch-performance-line-cx&motortechniek[5]=bosch-performance-line-speed&prijs[0]=1500-2000&prijs[1]=2000-2500&prijs[2]=2500-3000&orderby=popularity&order=DESC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&type[1]=elektrische-transportfietsen&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bosch-active-line&motortechniek[1]=bosch-active-line-plus&motortechniek[2]=bosch-e-bike-motor&motortechniek[3]=bosch-performance-line&motortechniek[4]=bosch-performance-line-cx&motortechniek[5]=bosch-performance-line-speed&prijs[0]=1500-2000&prijs[1]=2000-2500&prijs[2]=2500-3000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&type[1]=elektrische-transportfietsen&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500&prijs[1]=1500-2000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&type[1]=elektrische-transportfietsen&motorpositie[0]=in-het-voorwiel&aantal_versnellingen[0]=7&aantal_versnellingen[1]=8&aantal_versnellingen[2]=9&aantal_versnellingen[3]=10&aantal_versnellingen[4]=11&aantal_versnellingen[5]=12&aantal_versnellingen[6]=14&aantal_versnellingen[7]=17&aantal_versnellingen[8]=20&aantal_versnellingen[9]=22&aantal_versnellingen[10]=24&aantal_versnellingen[11]=27&aantal_versnellingen[12]=30&prijs[0]=1000-1500&prijs[1]=1500-2000&prijs[2]=2000-2500&orderby=price&order=ASC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&type[1]=elektrische-transportfietsen&motorpositie[0]=in-het-voorwiel&prijs[0]=1000-1500&prijs[1]=1500-2000&prijs[2]=2000-2500&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-transportfietsen&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-transportfietsen&motorpositie[0]=in-het-voorwiel&prijs[1]=3500-plus,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-transportfietsen&prijs[0]=1000-1500&orderby=title&order=ASC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=speed-pedelec,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=speed-pedelec&motorpositie[0]=ebike-middenmotor,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=speed-pedelec&motorpositie[0]=ebike-middenmotor&modeljaar[0]=e-bikes-2019&orderby=popularity&order=DESC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=speed-pedelec&motorpositie[0]=ebike-middenmotor&orderby=popularity&order=DESC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=speed-pedelec&motorpositie[0]=ebike-middenmotor&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[0]=speed-pedelec&motorpositie[0]=ebike-middenmotor&prijs[1]=3500-plus,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[1]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&accupositie[0]=in-het-frame-weggewerkt&aantal_versnellingen[0]=24&type_versnellingen[0]=naafversnelling,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[1]=speed-pedelec&motorpositie[0]=in-het-achterwiel,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-damesfietsen&type[1]=speed-pedelec&motorpositie[0]=in-het-achterwiel&orderby=price&order=ASC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&accupositie[0]=aan-het-frame-zichtbaar&accupositie[1]=in-het-frame-weggewerkt&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&accupositie[0]=aan-het-frame-zichtbaar&accupositie[1]=in-het-frame-weggewerkt&prijs[0]=2500-3000,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&accupositie[0]=in-het-frame-weggewerkt,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&modeljaar[0]=e-bikes-2019&prijs[0]=3500-plus,2,2,0,0.00
