MagentoSKU,Product,Page,visits,Quantity,CM3_Euro
CF-269853-XXS47-269854-2XL61,Scott Foil 20 2019,/scott-foil-20-2019,2163.0,81.0,49605.31999999999
CF-PORRN39H54-PORRN39H58,VanTuyl Porter RN3 2019 Heren,/vantuyl-porter-rn3-2019-heren,3245.0,26.0,-829.6500000000001
CF-A0071-A7650,Gazelle Bloom C7 2019 Dames,/checkout/cart/configure/id/199372/product_id/93130/,5.0,105.0,-8941.839999999998
CF-A6919-A6921,Gazelle Chamonix C7 2019 Dames,/checkout/cart/configure/id/315049/product_id/93218/,8.0,44.0,-3860.140000000001
CF-A7551-A7565,Gazelle Classic RN3 2019 Dames,/checkout/cart/configure/id/106297/product_id/93231/,7.0,33.0,-4253.23
CF-A2800-5723,Gazelle Esprit C3 2019 Heren,/checkout/cart/configure/id/50369/product_id/93164/,2.0,69.0,-8454.28
CF-A2800-5723,Gazelle Esprit C3 2019 Heren,/checkout/cart/configure/id/84008/product_id/93164/,1.0,69.0,-8454.28
CF-A0071-A7650,Gazelle Bloom C7 2019 Dames,/checkout/cart/configure/id/65735/product_id/93130/,3.0,105.0,-8941.839999999998
CF-PORRN39H54-PORRN39H58,Van Tuyl Porter RN3 Extra 2019 Heren,/fietsen/vantuyl-porter-rn3-2019-heren,6.0,26.0,-829.6500000000001
CF-A3428-A3442,Gazelle Orange C7+ HMB 2018 Dames,/gazelle-orange-c7-hmb-2018-dames,10749.0,-1.0,169.14
CF-A0229,Gazelle Cabby C7 2019,/gazelle-cabby-c7-2019,122841.0,37.0,-3492.82
CF-PORRN39H54-PORRN39H58,Van Tuyl Porter RN3 Extra 2019,/vantuyl-porter-rn3-2019-heren,3.0,26.0,-829.6500000000001
CF-CU13H61BLM-CU13H56BLM,Cortina U1 N3 2019 Heren,/fietsen/cortina-u1-n3-2019-heren,261.0,72.0,-5027.92
CF-270003-S-270003-L,Scott Sub Tour eRide 20 400Wh 2019 Lage Instap,/fietsen/scott-sub-tour-eride-20-400wh-2019-lage-instap,123.0,-1.0,-107.84
CF-GRANM8D49-GRANM8D57,Brinckers Granville M8 400 Lage Instap,/brinckers-granville-m8-400-lage-instap,171.0,-2.0,-53.36
CF-CT3H50NM-CT3H56NM,Cortina U4 Transport RN3 2019 Heren,/catalog/product/view/id/93461/s/cortina-u4-transport-rn3-2019-heren/category/8/,102.0,50.0,-2663.9300000000003
CF-A0229,Gazelle Cabby C7 2019,/fietsen/gazelle-cabby-c7-2019,2.0,37.0,-3492.82
